match_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_team,first_innings_runs,second_innings_team,second_innings_runs,winner,result_type,run_margin,wickets_margin,total_match_runs,team1_win,team1_prev_win_pct,team2_prev_win_pct,team1_recent_form,team2_recent_form,team1_avg_runs,team2_avg_runs,team1_avg_conceded,team2_avg_conceded,toss_winner_is_team1
1529279,2026-04-25,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,228,Sunrisers Hyderabad,229.0,Sunrisers Hyderabad,Chased,,5.0,457,0,0.7142857142857143,0.5714285714285714,0.3333333333333333,1.0,166.14285714285714,207.71428571428572,164.42857142857142,183.57142857142858,0
1529280,2026-04-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,158,Gujarat Titans,162.0,Gujarat Titans,Chased,,8.0,320,0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.3333333333333333,191.14285714285714,175.28571428571428,176.42857142857142,190.42857142857142,0
1529282,2026-04-27,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,75,Royal Challengers Bengaluru,77.0,Royal Challengers Bengaluru,Chased,,9.0,152,0,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.6666666666666666,192.14285714285714,203.42857142857142,201.0,194.57142857142858,0
1529283,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,222,Rajasthan Royals,228.0,Rajasthan Royals,Chased,,6.0,450,0,1.0,0.625,1.0,0.3333333333333333,219.16666666666666,173.875,208.16666666666666,172.5,0
1529284,2026-04-29,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,243,Sunrisers Hyderabad,249.0,Sunrisers Hyderabad,Chased,,6.0,492,0,0.2857142857142857,0.625,0.3333333333333333,1.0,175.57142857142858,210.375,182.71428571428572,189.125,1
1529285,2026-04-30,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Royal Challengers Bengaluru,155,Gujarat Titans,158.0,Gujarat Titans,Chased,,4.0,313,0,0.75,0.5,0.6666666666666666,0.3333333333333333,187.625,173.625,179.625,186.375,0
1529286,2026-05-01,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,225,Delhi Capitals,226.0,Delhi Capitals,Chased,,7.0,451,0,0.6666666666666666,0.375,0.6666666666666666,0.0,179.88888888888889,177.5,178.0,185.5,1
1529287,2026-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,159,Chennai Super Kings,160.0,Chennai Super Kings,Chased,,8.0,319,0,0.25,0.375,0.3333333333333333,0.3333333333333333,184.0,187.0,191.0,174.625,1
1529288,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,165,Kolkata Knight Riders,169.0,Kolkata Knight Riders,Chased,,7.0,334,0,0.6666666666666666,0.16666666666666666,1.0,0.3333333333333333,214.66666666666666,177.16666666666666,195.11111111111111,193.33333333333334,1
1529289,2026-05-03,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,163,Gujarat Titans,167.0,Gujarat Titans,Chased,,4.0,330,0,0.8571428571428571,0.5555555555555556,0.6666666666666666,0.6666666666666666,219.57142857142858,171.88888888888889,211.0,182.88888888888889,0
1529290,2026-05-04,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,228,Mumbai Indians,229.0,Mumbai Indians,Chased,,6.0,457,0,0.2857142857142857,0.2222222222222222,0.0,0.0,158.85714285714286,181.22222222222223,172.71428571428572,187.55555555555554,0
1529291,2026-05-05,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,155,Chennai Super Kings,159.0,Chennai Super Kings,Chased,,8.0,314,0,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.6666666666666666,182.88888888888889,184.0,189.88888888888889,172.88888888888889,1
1529292,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,235,Punjab Kings,202.0,Sunrisers Hyderabad,Defended,33.0,,437,1,0.6,0.75,0.6666666666666666,0.3333333333333333,209.7,212.5,192.5,205.5,0
1529293,2026-05-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,209,Royal Challengers Bengaluru,203.0,Lucknow Super Giants,Defended,6.0,,412,1,0.25,0.6666666666666666,0.0,0.6666666666666666,167.5,184.0,179.75,177.22222222222223,0
1529294,2026-05-08,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,142,Kolkata Knight Riders,147.0,Kolkata Knight Riders,Chased,,8.0,289,0,0.4,0.2857142857142857,0.3333333333333333,0.6666666666666666,180.1,176.0,186.8,189.28571428571428,0
1529295,2026-05-09,"Sawai Mansingh Stadium, Jaipur",Jaipur,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,229,Rajasthan Royals,152.0,Gujarat Titans,Defended,77.0,,381,1,0.6,0.6,1.0,0.3333333333333333,171.4,184.4,180.9,182.8,0
1529296,2026-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Lucknow Super Giants,203,Chennai Super Kings,208.0,Chennai Super Kings,Chased,,5.0,411,0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,172.11111111111111,181.5,182.33333333333334,171.1,0
1529297,2026-05-10,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Mumbai Indians,166,Royal Challengers Bengaluru,167.0,Royal Challengers Bengaluru,Chased,,2.0,333,0,0.3,0.6,0.3333333333333333,0.3333333333333333,186.0,185.9,191.6,180.4,0
